2025.11.14 12:37:32 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\controller\CategoryController.java. Using fallback presentation compiler.
2025.11.14 12:37:32 WARN  no build target for: C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\controller\TaskController.java
2025.11.14 12:37:32 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\controller\TaskController.java. Using fallback presentation compiler.
2025.11.14 12:37:32 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\controller\TaskController.java. Using fallback presentation compiler.
2025.11.14 12:37:32 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\controller\TaskController.java. Using fallback presentation compiler.
2025.11.14 12:37:37 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\controller\TaskController.java. Using fallback presentation compiler.
2025.11.14 12:37:42 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\controller\TaskController.java. Using fallback presentation compiler.
2025.11.14 12:37:42 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\controller\TaskController.java. Using fallback presentation compiler.
2025.11.14 12:37:44 WARN  no build target for: C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\services\TaskService.scala
2025.11.14 12:37:44 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\services\TaskService.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.11.14 12:37:44 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\services\TaskService.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.11.14 12:37:44 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\services\TaskService.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.11.14 12:37:46 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\services\TaskService.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.11.14 12:37:46 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\services\TaskService.scala. Using presentation compiler with project's scala-library version: 3.3.6
2025.11.14 12:37:48 INFO  no build target found for C:\Users\callu\mthree\MThreeGroupSpringBoot\src\main\java\org\example\services\TaskService.scala. Using presentation compiler with project's scala-library version: 3.3.6
